original,normal_english,mapping
"the very republic is threatened, if involved the sith are.","if the sith are involved, the very republic is threatened.","[5, 7, 8, 9, 6, 0, 1, 2, 3, 4]"
"hard to see, the dark side is.",The dark side is hard to see.,"[3, 4, 5, 6, 0, 1, 2]"
"discover who this assassin is, we must.",We must discover who this assassin is.,"[5, 6, 0, 1, 2, 3, 4]"
"with this naboo queen you must stay, qui-gon.","Qui-gon, you must stay with this naboo queen.","[7, 4, 5, 6, 0, 1, 2, 3]"
protect her.,Protect her.,"[0, 1]"
may the force be with you.,May the force be with you.,"[0, 1, 2, 3, 4, 5]"
(cont'd) master qui-gon more to say have you?,"You have more to say, master Qui-Gon (cont'd)?","[7, 6, 3, 4, 5, 1, 2, 0]"
"a vergence, you say?",You say a vergence?,"[2, 3, 0, 1]"
but you do!,You do but!,"[1, 2, 0]"
rrevealed your opinion is.,Your opinion is rrevealed.,"[1, 2, 3, 0]"
"trained as a jedi, you request for him?",You request for him trained as a jedi?,"[4, 5, 6, 7, 0, 1, 2, 3]"
tested he will be.,He will be tested.,"[1, 2, 3, 0]"
"good, good, young one.","Young one, good, good.","[2, 3, 0, 1]"
how feel you?,You feel how?,"[2, 1, 0]"
afraid are you?,Are you afraid?,"[1, 2, 0]"
"see through you, we can.",We can see through you.,"[3, 4, 0, 1, 2]"
afraid to lose her..,afraid to lose her..,"[0, 1, 2, 3]"
i think.,I think.,"[0, 1]"
fear is the path to the dark side... fear leads to anger...,Fear is the path to the dark side... Fear leads to anger...,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
anger leads to hate.. hate leads to suffering.,hate.. leads to anger suffering. leads to hate,"[3, 1, 2, 0, 7, 5, 6, 4]"
"a jedi must have the deepest commitment, the most serious mind.","A jedi must have the deepest commitment, the most serious mind.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
i sense much fear in you.,I sense much fear in you.,"[0, 1, 2, 3, 4, 5]"
"then continue, we will.","We will continue, then.","[2, 3, 1, 0]"
"...correct you were, qui-gon.","You were correct, Qui-Gon.","[1, 2, 0, 3]"
"clouded, this boy's future is.",This boy's future is clouded.,"[1, 2, 3, 4, 0]"
masked by his youth.,His youth masked by.,"[2, 3, 0, 1]"
"an apprentice, you have, qui-gon.","You have an apprentice, qui-gon.","[2, 3, 0, 1, 4]"
"impossible, to take on a second.","To take on a second impossible,","[1, 2, 3, 4, 5, 0]"
"ready so early, are you?",Are you ready so early?,"[3, 4, 0, 1, 2]"
what know you of ready?,What you know of ready?,"[0, 2, 1, 3, 4]"
our own council we will keep on who is ready.,We will keep our own council on who is ready.,"[3, 4, 5, 0, 1, 2, 6, 7, 8, 9]"
"more to learn, he has...","He has... more to learn,","[3, 4, 0, 1, 2]"
and draw out the queen's attacker.,And draw the queen's attacker out.,"[0, 1, 3, 4, 5, 2]"
young skywalker's fate will be decided later.,skywalker's young fate will be decided later.,"[1, 0, 2, 3, 4, 5, 6]"
train him not.,Not train him.,"[2, 0, 1]"
"take him with you, but train him not!","Take him with you, but not! train him","[0, 1, 2, 3, 4, 7, 5, 6]"
"confer on you, the level of jedi knight the coucil does.","The coucil does confer on you, the level of jedi knight.","[8, 9, 10, 0, 1, 2, 3, 4, 5, 6, 7]"
"but agree on you taking this boy as your padawan learner, i do not.","But I do not agree on you taking this boy as your padawan learner,","[0, 11, 12, 13, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"the chosen one the boy may be; nevertheless, grave danger i fear in his training.","i fear grave danger in his training. nevertheless, the boy may be; the chosen one","[10, 11, 8, 9, 12, 13, 14, 7, 3, 4, 5, 6, 0, 1, 2]"
qui-gon's defiance i sense in you.,I sense qui-gon's defiance in you.,"[2, 3, 0, 1, 4, 5]"
"need that, you do not.",You do not need that.,"[2, 3, 4, 0, 1]"
"agree, the council does.",The council does agree.,"[1, 2, 3, 0]"
"your apprentice, young skywalker will be.","young skywalker will be your apprentice,","[2, 3, 4, 5, 0, 1]"
always two there are....no more...no less.,there are always two no more no less.,"[2, 3, 0, 1, 4, 5, 6, 7]"
a master and an apprentice.,an apprentice and a master.,"[3, 4, 2, 0, 1]"
premonitions . .,premonitions . .,"[0, 1, 2]"
premonitions . . .,premonitions . . .,"[0, 1, 2, 3]"
hmmmm . . .,hmmmm . . .,"[0, 1, 2, 3]"
these visions you have . . .,you have these visions . . .,"[2, 3, 0, 1, 4, 5, 6]"
"yourself you speak of, or someone you know?","you speak of, yourself or you know someone?","[1, 2, 3, 0, 4, 6, 7, 5]"
. .,. .,"[0, 1]"
close to you?,you close to?,"[2, 0, 1]"
"careful you must be when sensing the future, anakin.","You must be careful when sensing the future, anakin.","[1, 2, 3, 0, 4, 5, 6, 7, 8]"
the fear of loss is a path to the dark side.,a path to the dark side is the fear of loss.,"[5, 6, 7, 8, 9, 10, 4, 0, 1, 2, 3]"
death is a natural part of life.,Death is a natural part of life.,"[0, 1, 2, 3, 4, 5, 6]"
rejoice for those around you who transform into the force.,For those around you who transform into the force rejoice.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]"
"mourn them, do not.",Do not mourn them.,"[2, 3, 0, 1]"
"miss them, do not.",Do not miss them.,"[2, 3, 0, 1]"
attachment leads to jealousy.,Jealousy leads to attachment.,"[3, 1, 2, 0]"
"the shadow of greed, that is.",That is the shadow of greed.,"[4, 5, 0, 1, 2, 3]"
train yourself to let go of everything you fear to lose.,Train yourself to let go of everything you fear to lose.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"allow this appointment lightly, the council does not.",The council does not allow this appointment lightly.,"[4, 5, 6, 7, 0, 1, 2, 3]"
disturbing is this move by chancellor palpatine.,this move by chancellor palpatine is disturbing.,"[2, 3, 4, 5, 6, 1, 0]"
"hiding in the outer rim, grievous is.",Grievous is hiding in the outer rim.,"[5, 6, 0, 1, 2, 3, 4]"
"the outlying systems, you must sweep.",You must sweep the outlying systems.,"[3, 4, 5, 0, 1, 2]"
"master kenobi, our spies contact, you must, and then wait.","You must contact our spies, Master Kenobi, and then wait.","[5, 6, 4, 2, 3, 0, 1, 7, 8, 9]"
"go, i will.",I will go.,"[1, 2, 0]"
"good relations with the wookiees, i have.",I have good relations with the wookiees.,"[5, 6, 0, 1, 2, 3, 4]"
"too much under the sway of the chancellor, he is.",He is too much under the sway of the chancellor.,"[8, 9, 0, 1, 2, 3, 4, 5, 6, 7]"
much anger there is in him.,There is much anger in him.,"[2, 3, 0, 1, 4, 5]"
too much pride in his powers.,Pride in his powers too much.,"[2, 3, 4, 5, 0, 1]"
a prophecy . .,A prophecy . .,"[0, 1, 2, 3]"
that misread could have been.,that could have been misread.,"[0, 2, 3, 4, 1]"
i hope right you are.,I hope you are right.,"[0, 1, 3, 4, 2]"
"and now destroy the droid armies on kashyyyk, i will.","And now, I will destroy the droid armies on Kashyyyk.","[0, 1, 8, 9, 2, 3, 4, 5, 6, 7]"
may the force be with you.,May the force be with you.,"[0, 1, 2, 3, 4, 5]"
"act on this, we must.",We must act on this.,"[3, 4, 0, 1, 2]"
the capture of general grievous will end this war.,The capture of General Grievous will end this war.,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
quickly and decisively we should proceed.,We should proceed quickly and decisively.,"[3, 4, 5, 0, 1, 2]"
"a master is needed, with more experience.",A master with more experience is needed.,"[0, 1, 4, 5, 6, 2, 3]"
"obi-wan, my choice is.",My choice is Obi-Wan.,"[1, 2, 3, 0]"
i agree.,I agree.,"[0, 1]"
"then now the time is, commander.","Now then the time is, commander.","[1, 0, 2, 3, 4, 5]"
to a dark place this line of thought will carry us.,this line of thought will carry us to a dark place.,"[4, 5, 6, 7, 8, 9, 10, 0, 1, 2, 3]"
hmmmmm. . . .,hmmmmm. . . .,"[0, 1, 2, 3]"
great care we must take.,we must take great care.,"[2, 3, 4, 0, 1]"
"stink, this mud does.",This mud does stink.,"[1, 2, 3, 0]"
"a moment to bathe, give me.",Give me a moment to bathe.,"[4, 5, 0, 1, 2, 3]"
"(continuing) not far, are we, from the emergency ship.","We, are not far, from the emergency ship. (continuing)","[4, 3, 1, 2, 5, 6, 7, 8, 0]"
quickly . . .,quickly . . .,"[0, 1, 2, 3]"
"good-bye. chewbacca and tarfful, miss you i will.","I will miss you, Chewbacca and Tarfful, good-bye.","[6, 7, 4, 5, 1, 2, 3, 0]"
good friends you are.,You are good friends.,"[2, 3, 0, 1]"
"for your help, much gratitude and respect, i have.","i have much gratitude and respect, for your help,","[7, 8, 3, 4, 5, 6, 0, 1, 2]"
"master kenobi, dark times are these.","These are dark times, master kenobi.","[5, 4, 2, 3, 0, 1]"
good to see you.,Good to see you.,"[0, 1, 2, 3]"
it is.,It is.,"[0, 1]"
"with the help of the wookiees, barely escape, i did.",I did barely escape with the help of the wookiees.,"[8, 9, 6, 7, 0, 1, 2, 3, 4, 5]"
"heard from no one, have we.",We have heard from no one.,"[5, 4, 0, 1, 2, 3]"
"received a coded retreat message, we have.",We have received a coded retreat message.,"[5, 6, 0, 1, 2, 3, 4]"
"suggest dismantling the coded signal, do you?",Do you suggest dismantling the coded signal?,"[5, 6, 0, 1, 2, 3, 4]"
i agree.,i agree.,"[0, 1]"
in a dark place we find ourselves ...,We find ourselves in a dark place ...,"[4, 5, 6, 0, 1, 2, 3, 7]"
a little more knowledge might light our way.,A little more knowledge might light our way.,"[0, 1, 2, 3, 4, 5, 6, 7]"
"if a special session of congress there is, easier for us to enter the jedi temple it will be.","if there is a special session of congress, it will be easier for us to enter the jedi temple.","[0, 6, 7, 1, 2, 3, 4, 5, 16, 17, 18, 8, 9, 10, 11, 12, 13, 14, 15]"
dismantle the coded signal quickly.,Quickly dismantle the coded signal.,"[4, 0, 1, 2, 3]"
"that group back there, soon discovered will be.",that group will be discovered back there soon.,"[0, 1, 6, 7, 5, 2, 3, 4]"
"killed not by clones, this padawan.",This padawan killed not by clones.,"[4, 5, 0, 1, 2, 3]"
"by a lightsaber, he was.",He was by a lightsaber.,"[3, 4, 0, 1, 2]"
good . .,good . .,"[0, 1, 2]"
"for the clones to discover the recalibration, a long time it will take.",It will take a long time for the clones to discover the recalibration.,"[10, 11, 12, 7, 8, 9, 0, 1, 2, 3, 4, 5, 6]"
"to change it back, longer still.","Longer to change it back, still.","[4, 0, 1, 2, 3, 5]"
"if into the security recordings you go, only pain will you find.","If you go, into the security recordings only pain will you find.","[0, 5, 6, 1, 2, 3, 4, 7, 8, 9, 10, 11]"
"destroy the sith, we must.",We must destroy the sith.,"[3, 4, 0, 1, 2]"
"to fight this lord sidious, strong enough, you are not.",You are not strong enough to fight this lord sidious.,"[7, 8, 9, 5, 6, 0, 1, 2, 3, 4]"
"twisted by the dark side, young skywalker has become.",Young skywalker has become twisted by the dark side.,"[5, 6, 7, 8, 0, 1, 2, 3, 4]"
"the boy you trained, gone he is . . .","He is gone, the boy you trained . . .","[5, 6, 4, 0, 1, 2, 3, 7, 8, 9]"
consumed by darth vader.,Darth Vader consumed by.,"[2, 3, 0, 1]"
"to question, no time there is.",There is no time to question.,"[4, 5, 2, 3, 0, 1]"
"use your feelings, obi-wan, and find him, you will.","Use your feelings, Obi-Wan, and you will find him.","[0, 1, 2, 3, 4, 7, 8, 5, 6]"
"visit the new emperor, my task is.",My task is visit the new emperor.,"[4, 5, 6, 0, 1, 2, 3]"
may the force be with you.,May you be with the force.,"[0, 5, 3, 4, 1, 2]"
"i hear a new apprentice, you have.","You have a new apprentice, I hear.","[5, 6, 2, 3, 4, 0, 1]"
"emperor, or should i call you darth sidious.","Should I call you emperor, or darth sidious.","[2, 3, 4, 5, 0, 1, 6, 7]"
"not if anything i have to say about it, lord sidious.","If I have not anything to say about it, Lord Sidious.","[1, 3, 4, 0, 2, 5, 6, 7, 8, 9, 10]"
"(continuing) at an end your rule is and not short enough it was, i must say.","(continuing) your rule is at an end and it was, not short enough i must say.","[0, 4, 5, 6, 1, 2, 3, 7, 11, 12, 8, 9, 10, 13, 14, 15]"
"(continuing) if so powerful you are, why leave??","If you are, so powerful, why leave?? (continuing)","[1, 4, 5, 2, 3, 6, 7, 0]"
"faith in your new apprentice, misplaced may be, as is your faith in the dark side of the force.","Faith in your new apprentice may be, misplaced as is your faith in the dark side of the force.","[0, 1, 2, 3, 4, 6, 7, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
"destroy you i will, just as master kenobi, your apprentice will destroy.",I will destroy you just as your apprentice will destroy master kenobi.,"[2, 10, 0, 1, 4, 5, 8, 9, 3, 11, 6, 7]"
careful timing we will need.,We will need careful timing.,"[2, 3, 4, 0, 1]"
into exile i must go.,I must go into exile.,"[2, 3, 4, 0, 1]"
"failed, i have.",I have failed.,"[1, 2, 0]"
"failed to stop the sith lord, i have.",I have failed to stop the sith lord.,"[6, 7, 0, 1, 2, 3, 4, 5]"
"still much to learn, there is ...","There is still much to learn, ...","[4, 5, 0, 1, 2, 3, 6]"
eternal consciousness.,Consciousness eternal.,"[1, 0]"
. .,. .,"[0, 1]"
"to become one with the force, and influence still have . . .","and still have influence to become one with the force, . . .","[6, 8, 9, 7, 0, 1, 2, 3, 4, 5, 10]"
"a power greater than all, it is.",It is a power greater than all.,"[5, 6, 0, 1, 2, 3, 4]"
"a great jedi master, you have become, qui-gon jinn.","you have become, a great jedi master, qui-gon jinn.","[4, 5, 6, 0, 1, 2, 3, 7, 8]"
your apprentice i gratefully become.,I gratefully become your apprentice.,"[2, 3, 4, 0, 1]"
"save them, we must.",We must save them.,"[2, 3, 0, 1]"
they are our last hope.,They are our last hope.,"[0, 1, 2, 3, 4]"
"pregnant, she must still appear.",She must still appear pregnant.,"[1, 2, 3, 4, 0]"
"hidden, safe, the children must be kept.","The children must be kept hidden, safe.","[2, 3, 4, 5, 6, 0, 1]"
"split up, they should be.",They should be split up.,"[2, 3, 4, 0, 1]"
to tatooine.,Tatooine to.,"[1, 0]"
"to his family, send him.",Send him to his family.,"[3, 4, 0, 1, 2]"
"strong the force runs, in the skywalker line.","the strong force runs, in the skywalker line.","[1, 0, 2, 3, 4, 5, 6, 7]"
"hope, we can . . .","we can hope, . . .","[1, 2, 0, 3]"
"done, it is.",It is done.,"[1, 2, 0]"
"until the time is right, disappear we will.",We will disappear until the time is right.,"[6, 7, 5, 0, 1, 2, 3, 4]"
"(continuing) master kenobi, wait a moment.","master kenobi, wait a moment. (continuing)","[1, 2, 3, 4, 5, 0]"
"in your solitude on tatooine, training i have for you.","i have training in your solitude on tatooine, for you.","[6, 7, 5, 0, 1, 2, 3, 4, 8, 9]"
an old friend has learned the path to immortality.,An old friend has learned the path to immortality.,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
one who has returned from the netherworld of the force to train me . .,One who has returned from the netherworld of the force to train me . .,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
"your old master, qui-gon jinn.","Qui-gon Jinn, your old master.","[3, 4, 0, 1, 2]"
"the secret of the ancient order of the whills, he studied.",He studied the secret of the ancient order of the whills.,"[9, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
how to commune with him.,How to commune with him.,"[0, 1, 2, 3, 4]"
i will teach you.,I will teach you.,"[0, 1, 2, 3]"
"how to join the force, he will train you.",He will train you how to join the force.,"[5, 6, 7, 8, 0, 1, 2, 3, 4]"
"your consciousness you will retain, when one with the force.","You will retain your consciousness, when one with the force.","[2, 3, 4, 0, 1, 5, 6, 7, 8, 9]"
"even your physical self, perhaps.",Perhaps even your physical self.,"[4, 0, 1, 2, 3]"
that face you make.,you make that face.,"[2, 3, 0, 1]"
look i so old to young eyes?,I look so old to young eyes?,"[1, 0, 2, 3, 4, 5, 6]"
soon will i rest.,I will rest soon.,"[2, 1, 3, 0]"
"yes, forever sleep.","Yes, sleep forever.","[0, 2, 1]"
"earned it, i have.",I have earned it.,"[2, 3, 0, 1]"
strong am i with the force... but not that strong!,I am strong with the force... but not that strong!,"[2, 1, 0, 3, 4, 5, 6, 7, 8, 9]"
twilight is upon me,twilight is upon me,"[0, 1, 2, 3]"
no more training do you require.,You do require no more training.,"[4, 3, 5, 0, 1, 2]"
already know you that which you need.,You already know that which you need.,"[2, 0, 1, 3, 4, 5, 6]"
mmm... rest i need.,Mmm... I need rest.,"[0, 2, 3, 1]"
yes... rest.,rest. yes...,"[1, 0]"
your father he is.,He is your father.,"[2, 3, 0, 1]"
"told you, did he?",Did he told you?,"[2, 3, 0, 1]"
"unexpected this is, and unfortunate...","This is unexpected, and unfortunate...","[1, 2, 0, 3, 4]"
"remember, a jedi's strength flows from the force.","A jedi's strength flows from the force, remember.","[1, 2, 3, 4, 5, 6, 7, 0]"
"but beware, anger.","Beware, but anger.","[1, 0, 2]"
"luke...luke...do not...do not underestimate the powers of the emperor,","Luke, Luke, do not, do not underestimate the powers of the emperor.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
