original,normal_english,mapping,normal_word_order,yoda_word_order
"the very republic is threatened, if involved the sith are.","if the sith are involved, the very republic is threatened.","[5, 7, 8, 9, 6, 0, 1, 2, 3, 4]",SSV (Incomplete),SS (Incomplete)
"hard to see, the dark side is.",The dark side is hard to see.,"[3, 4, 5, 6, 0, 1, 2]",SV (Incomplete),SV (Incomplete)
"discover who this assassin is, we must.",We must discover who this assassin is.,"[5, 6, 0, 1, 2, 3, 4]",SVOS,VOSS
"with this naboo queen you must stay, qui-gon.","Qui-gon, you must stay with this naboo queen.","[7, 4, 5, 6, 0, 1, 2, 3]",SVO,SV (Incomplete)
protect her.,Protect her.,"[0, 1]",VO (Incomplete),VO (Incomplete)
may the force be with you.,May the force be with you.,"[0, 1, 2, 3, 4, 5]",SVO,SVO
(cont'd) master qui-gon more to say have you?,"You have more to say, master Qui-Gon (cont'd)?","[7, 6, 3, 4, 5, 1, 2, 0]",SVOO,OVS
"a vergence, you say?",You say a vergence?,"[2, 3, 0, 1]",SVO,OSV
but you do!,You do but!,"[1, 2, 0]",SV (Incomplete),SV (Incomplete)
rrevealed your opinion is.,Your opinion is rrevealed.,"[1, 2, 3, 0]",SV (Incomplete),VS (Incomplete)
"trained as a jedi, you request for him?",You request for him trained as a jedi?,"[4, 5, 6, 7, 0, 1, 2, 3]",SVOO,OSVO
tested he will be.,He will be tested.,"[1, 2, 3, 0]",SV (Incomplete),VS (Incomplete)
"good, good, young one.","Young one, good, good.","[2, 3, 0, 1]",V (Incomplete),V (Incomplete)
how feel you?,You feel how?,"[2, 1, 0]",SV (Incomplete),VS (Incomplete)
afraid are you?,Are you afraid?,"[1, 2, 0]",VS (Incomplete),VS (Incomplete)
"see through you, we can.",We can see through you.,"[3, 4, 0, 1, 2]",SVO,VOS
afraid to lose her..,afraid to lose her..,"[0, 1, 2, 3]",VO (Incomplete),VO (Incomplete)
i think.,I think.,"[0, 1]",SV (Incomplete),SV (Incomplete)
fear is the path to the dark side... fear leads to anger...,Fear is the path to the dark side... Fear leads to anger...,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",SVOOSVO,SVOOSV
anger leads to hate.. hate leads to suffering.,hate.. leads to anger suffering. leads to hate,"[3, 1, 2, 0, 7, 5, 6, 4]",SVOV,VSVO
"a jedi must have the deepest commitment, the most serious mind.","A jedi must have the deepest commitment, the most serious mind.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",SVO,SVO
i sense much fear in you.,I sense much fear in you.,"[0, 1, 2, 3, 4, 5]",SVOO,SVOO
"then continue, we will.","We will continue, then.","[2, 3, 1, 0]",SV (Incomplete),VS (Incomplete)
"...correct you were, qui-gon.","You were correct, Qui-Gon.","[1, 2, 0, 3]",SV (Incomplete),SV (Incomplete)
"clouded, this boy's future is.",This boy's future is clouded.,"[1, 2, 3, 4, 0]",SV (Incomplete),VS (Incomplete)
masked by his youth.,His youth masked by.,"[2, 3, 0, 1]",V (Incomplete),V (Incomplete)
"an apprentice, you have, qui-gon.","You have an apprentice, qui-gon.","[2, 3, 0, 1, 4]",SVO,OSV
"impossible, to take on a second.","To take on a second impossible,","[1, 2, 3, 4, 5, 0]",VO (Incomplete),OV (Incomplete)
"ready so early, are you?",Are you ready so early?,"[3, 4, 0, 1, 2]",VS (Incomplete),VS (Incomplete)
what know you of ready?,What you know of ready?,"[0, 2, 1, 3, 4]",OSV,OVS
our own council we will keep on who is ready.,We will keep our own council on who is ready.,"[3, 4, 5, 0, 1, 2, 6, 7, 8, 9]",SVOS,OSVS
"more to learn, he has...","He has... more to learn,","[3, 4, 0, 1, 2]",SV (Incomplete),SV (Incomplete)
and draw out the queen's attacker.,And draw the queen's attacker out.,"[0, 1, 3, 4, 5, 2]",VO (Incomplete),VO (Incomplete)
young skywalker's fate will be decided later.,skywalker's young fate will be decided later.,"[1, 0, 2, 3, 4, 5, 6]",SV (Incomplete),SV (Incomplete)
train him not.,Not train him.,"[2, 0, 1]",VO (Incomplete),VO (Incomplete)
"take him with you, but train him not!","Take him with you, but not! train him","[0, 1, 2, 3, 4, 7, 5, 6]",VOOVO (Incomplete),VOO (Incomplete)
"confer on you, the level of jedi knight the coucil does.","The coucil does confer on you, the level of jedi knight.","[8, 9, 10, 0, 1, 2, 3, 4, 5, 6, 7]",SVOO,VOS
"but agree on you taking this boy as your padawan learner, i do not.","But I do not agree on you taking this boy as your padawan learner,","[0, 11, 12, 13, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",SVSOO,VSOOS
"the chosen one the boy may be; nevertheless, grave danger i fear in his training.","i fear grave danger in his training. nevertheless, the boy may be; the chosen one","[10, 11, 8, 9, 12, 13, 14, 7, 3, 4, 5, 6, 0, 1, 2]",SVOOSV,SOSVO
qui-gon's defiance i sense in you.,I sense qui-gon's defiance in you.,"[2, 3, 0, 1, 4, 5]",SVOO,SV (Incomplete)
"need that, you do not.",You do not need that.,"[2, 3, 4, 0, 1]",SVO,VOS
"agree, the council does.",The council does agree.,"[1, 2, 3, 0]",SV (Incomplete),VS (Incomplete)
"your apprentice, young skywalker will be.","young skywalker will be your apprentice,","[2, 3, 4, 5, 0, 1]",SVO,OSV
always two there are....no more...no less.,there are always two no more no less.,"[2, 3, 0, 1, 4, 5, 6, 7]",VOO (Incomplete),OVO (Incomplete)
a master and an apprentice.,an apprentice and a master.,"[3, 4, 2, 0, 1]",V (Incomplete),V (Incomplete)
premonitions . .,premonitions . .,"[0, 1, 2]",V (Incomplete),V (Incomplete)
premonitions . . .,premonitions . . .,"[0, 1, 2, 3]",V (Incomplete),V (Incomplete)
hmmmm . . .,hmmmm . . .,"[0, 1, 2, 3]",V (Incomplete),V (Incomplete)
these visions you have . . .,you have these visions . . .,"[2, 3, 0, 1, 4, 5, 6]",SVO,OSV
"yourself you speak of, or someone you know?","you speak of, yourself or you know someone?","[1, 2, 3, 0, 4, 6, 7, 5]",SVSO,SVS (Incomplete)
. .,. .,"[0, 1]",V (Incomplete),V (Incomplete)
close to you?,you close to?,"[2, 0, 1]",SV (Incomplete),VS (Incomplete)
"careful you must be when sensing the future, anakin.","You must be careful when sensing the future, anakin.","[1, 2, 3, 0, 4, 5, 6, 7, 8]",SVO,SVO
the fear of loss is a path to the dark side.,a path to the dark side is the fear of loss.,"[5, 6, 7, 8, 9, 10, 4, 0, 1, 2, 3]",SOVOO,OOVSO
death is a natural part of life.,Death is a natural part of life.,"[0, 1, 2, 3, 4, 5, 6]",SVOO,SVOO
rejoice for those around you who transform into the force.,For those around you who transform into the force rejoice.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",VOOSO,OVOOS
"mourn them, do not.",Do not mourn them.,"[2, 3, 0, 1]",VO (Incomplete),VO (Incomplete)
"miss them, do not.",Do not miss them.,"[2, 3, 0, 1]",VO (Incomplete),VO (Incomplete)
attachment leads to jealousy.,Jealousy leads to attachment.,"[3, 1, 2, 0]",SVO,OVS
"the shadow of greed, that is.",That is the shadow of greed.,"[4, 5, 0, 1, 2, 3]",SVOO,OOSV
train yourself to let go of everything you fear to lose.,Train yourself to let go of everything you fear to lose.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",VOOS,VOOS
"allow this appointment lightly, the council does not.",The council does not allow this appointment lightly.,"[4, 5, 6, 7, 0, 1, 2, 3]",SVO,VOS
disturbing is this move by chancellor palpatine.,this move by chancellor palpatine is disturbing.,"[2, 3, 4, 5, 6, 1, 0]",SOV,VSO
"hiding in the outer rim, grievous is.",Grievous is hiding in the outer rim.,"[5, 6, 0, 1, 2, 3, 4]",SVO,VOS
"the outlying systems, you must sweep.",You must sweep the outlying systems.,"[3, 4, 5, 0, 1, 2]",SVO,OSV
"master kenobi, our spies contact, you must, and then wait.","You must contact our spies, Master Kenobi, and then wait.","[5, 6, 4, 2, 3, 0, 1, 7, 8, 9]",SVO,OVS
"go, i will.",I will go.,"[1, 2, 0]",SV (Incomplete),VS (Incomplete)
"good relations with the wookiees, i have.",I have good relations with the wookiees.,"[5, 6, 0, 1, 2, 3, 4]",SVOO,OOSV
"too much under the sway of the chancellor, he is.",He is too much under the sway of the chancellor.,"[8, 9, 0, 1, 2, 3, 4, 5, 6, 7]",SVOO,OOSV
much anger there is in him.,There is much anger in him.,"[2, 3, 0, 1, 4, 5]",VOO (Incomplete),OVO (Incomplete)
too much pride in his powers.,Pride in his powers too much.,"[2, 3, 4, 5, 0, 1]",VO (Incomplete),VO (Incomplete)
a prophecy . .,A prophecy . .,"[0, 1, 2, 3]",V (Incomplete),V (Incomplete)
that misread could have been.,that could have been misread.,"[0, 2, 3, 4, 1]",SV (Incomplete),SV (Incomplete)
i hope right you are.,I hope you are right.,"[0, 1, 3, 4, 2]",SVS (Incomplete),SVS (Incomplete)
"and now destroy the droid armies on kashyyyk, i will.","And now, I will destroy the droid armies on Kashyyyk.","[0, 1, 8, 9, 2, 3, 4, 5, 6, 7]",SVOO,VOS
may the force be with you.,May the force be with you.,"[0, 1, 2, 3, 4, 5]",SVO,SVO
"act on this, we must.",We must act on this.,"[3, 4, 0, 1, 2]",SVO,VOS
the capture of general grievous will end this war.,The capture of General Grievous will end this war.,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",SOVO,SOVO
quickly and decisively we should proceed.,We should proceed quickly and decisively.,"[3, 4, 5, 0, 1, 2]",SV (Incomplete),SV (Incomplete)
"a master is needed, with more experience.",A master with more experience is needed.,"[0, 1, 4, 5, 6, 2, 3]",SOV,SVO
"obi-wan, my choice is.",My choice is Obi-Wan.,"[1, 2, 3, 0]",SVO,SV (Incomplete)
i agree.,I agree.,"[0, 1]",SV (Incomplete),SV (Incomplete)
"then now the time is, commander.","Now then the time is, commander.","[1, 0, 2, 3, 4, 5]",SVO,SV (Incomplete)
to a dark place this line of thought will carry us.,this line of thought will carry us to a dark place.,"[4, 5, 6, 7, 8, 9, 10, 0, 1, 2, 3]",SOVOO,OSOVO
hmmmmm. . . .,hmmmmm. . . .,"[0, 1, 2, 3]",V (Incomplete),V (Incomplete)
great care we must take.,we must take great care.,"[2, 3, 4, 0, 1]",SVO,OSV
"stink, this mud does.",This mud does stink.,"[1, 2, 3, 0]",SV (Incomplete),VS (Incomplete)
"a moment to bathe, give me.",Give me a moment to bathe.,"[4, 5, 0, 1, 2, 3]",VO (Incomplete),OV (Incomplete)
"(continuing) not far, are we, from the emergency ship.","We, are not far, from the emergency ship. (continuing)","[4, 3, 1, 2, 5, 6, 7, 8, 0]",SVOV,VS (Incomplete)
quickly . . .,quickly . . .,"[0, 1, 2, 3]",V (Incomplete),V (Incomplete)
"good-bye. chewbacca and tarfful, miss you i will.","I will miss you, Chewbacca and Tarfful, good-bye.","[6, 7, 4, 5, 1, 2, 3, 0]",SVO,VOS
good friends you are.,You are good friends.,"[2, 3, 0, 1]",SVO,OSV
"for your help, much gratitude and respect, i have.","i have much gratitude and respect, for your help,","[7, 8, 3, 4, 5, 6, 0, 1, 2]",SVOO,OSV
"master kenobi, dark times are these.","These are dark times, master kenobi.","[5, 4, 2, 3, 0, 1]",SVO,OVS
good to see you.,Good to see you.,"[0, 1, 2, 3]",VO (Incomplete),VO (Incomplete)
it is.,It is.,"[0, 1]",SV (Incomplete),SV (Incomplete)
"with the help of the wookiees, barely escape, i did.",I did barely escape with the help of the wookiees.,"[8, 9, 6, 7, 0, 1, 2, 3, 4, 5]",SVOO,OOVS
"heard from no one, have we.",We have heard from no one.,"[5, 4, 0, 1, 2, 3]",SVO,VOS
"received a coded retreat message, we have.",We have received a coded retreat message.,"[5, 6, 0, 1, 2, 3, 4]",SVO,VOS
"suggest dismantling the coded signal, do you?",Do you suggest dismantling the coded signal?,"[5, 6, 0, 1, 2, 3, 4]",SVO,VOS
i agree.,i agree.,"[0, 1]",SV (Incomplete),SV (Incomplete)
in a dark place we find ourselves ...,We find ourselves in a dark place ...,"[4, 5, 6, 0, 1, 2, 3, 7]",SVOO,OSVO
a little more knowledge might light our way.,A little more knowledge might light our way.,"[0, 1, 2, 3, 4, 5, 6, 7]",SVO,SVO
"if a special session of congress there is, easier for us to enter the jedi temple it will be.","if there is a special session of congress, it will be easier for us to enter the jedi temple.","[0, 6, 7, 1, 2, 3, 4, 5, 16, 17, 18, 8, 9, 10, 11, 12, 13, 14, 15]",OOSVSO,OOVSS
dismantle the coded signal quickly.,Quickly dismantle the coded signal.,"[4, 0, 1, 2, 3]",VO (Incomplete),VO (Incomplete)
"that group back there, soon discovered will be.",that group will be discovered back there soon.,"[0, 1, 6, 7, 5, 2, 3, 4]",SV (Incomplete),SV (Incomplete)
"killed not by clones, this padawan.",This padawan killed not by clones.,"[4, 5, 0, 1, 2, 3]",VO (Incomplete),OV (Incomplete)
"by a lightsaber, he was.",He was by a lightsaber.,"[3, 4, 0, 1, 2]",SVO,OSV
good . .,good . .,"[0, 1, 2]",V (Incomplete),V (Incomplete)
"for the clones to discover the recalibration, a long time it will take.",It will take a long time for the clones to discover the recalibration.,"[10, 11, 12, 7, 8, 9, 0, 1, 2, 3, 4, 5, 6]",SVOSO,SOOSV
"to change it back, longer still.","Longer to change it back, still.","[4, 0, 1, 2, 3, 5]",VO (Incomplete),OV (Incomplete)
"if into the security recordings you go, only pain will you find.","If you go, into the security recordings only pain will you find.","[0, 5, 6, 1, 2, 3, 4, 7, 8, 9, 10, 11]",SOSV,SOS (Incomplete)
"destroy the sith, we must.",We must destroy the sith.,"[3, 4, 0, 1, 2]",SVO,VOS
"to fight this lord sidious, strong enough, you are not.",You are not strong enough to fight this lord sidious.,"[7, 8, 9, 5, 6, 0, 1, 2, 3, 4]",SVO,OSV
"twisted by the dark side, young skywalker has become.",Young skywalker has become twisted by the dark side.,"[5, 6, 7, 8, 0, 1, 2, 3, 4]",SVO,OSV
"the boy you trained, gone he is . . .","He is gone, the boy you trained . . .","[5, 6, 4, 0, 1, 2, 3, 7, 8, 9]",SVS (Incomplete),SSV (Incomplete)
consumed by darth vader.,Darth Vader consumed by.,"[2, 3, 0, 1]",V (Incomplete),V (Incomplete)
"to question, no time there is.",There is no time to question.,"[4, 5, 2, 3, 0, 1]",VOO (Incomplete),OOV (Incomplete)
"use your feelings, obi-wan, and find him, you will.","Use your feelings, Obi-Wan, and you will find him.","[0, 1, 2, 3, 4, 7, 8, 5, 6]",VOSO,VO (Incomplete)
"visit the new emperor, my task is.",My task is visit the new emperor.,"[4, 5, 6, 0, 1, 2, 3]",SVO,OSV
may the force be with you.,May you be with the force.,"[0, 5, 3, 4, 1, 2]",SVO,OVS
"i hear a new apprentice, you have.","You have a new apprentice, I hear.","[5, 6, 2, 3, 4, 0, 1]",SOSV,SOS (Incomplete)
"emperor, or should i call you darth sidious.","Should I call you emperor, or darth sidious.","[2, 3, 4, 5, 0, 1, 6, 7]",SVO,SVO
"not if anything i have to say about it, lord sidious.","If I have not anything to say about it, Lord Sidious.","[1, 3, 4, 0, 2, 5, 6, 7, 8, 9, 10]",SVOO,OSVO
"(continuing) at an end your rule is and not short enough it was, i must say.","(continuing) your rule is at an end and it was, not short enough i must say.","[0, 4, 5, 6, 1, 2, 3, 7, 11, 12, 8, 9, 10, 13, 14, 15]",SOSSV,SSO (Incomplete)
"(continuing) if so powerful you are, why leave??","If you are, so powerful, why leave?? (continuing)","[1, 4, 5, 2, 3, 6, 7, 0]",SVV (Incomplete),S (Incomplete)
"faith in your new apprentice, misplaced may be, as is your faith in the dark side of the force.","Faith in your new apprentice may be, misplaced as is your faith in the dark side of the force.","[0, 1, 2, 3, 4, 6, 7, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",SOVSOO,SOVSO
"destroy you i will, just as master kenobi, your apprentice will destroy.",I will destroy you just as your apprentice will destroy master kenobi.,"[2, 10, 0, 1, 4, 5, 8, 9, 3, 11, 6, 7]",SVOSO,VOSOS
careful timing we will need.,We will need careful timing.,"[2, 3, 4, 0, 1]",SVO,OSV
into exile i must go.,I must go into exile.,"[2, 3, 4, 0, 1]",SVO,OSV
"failed, i have.",I have failed.,"[1, 2, 0]",SV (Incomplete),VS (Incomplete)
"failed to stop the sith lord, i have.",I have failed to stop the sith lord.,"[6, 7, 0, 1, 2, 3, 4, 5]",SVO,VOS
"still much to learn, there is ...","There is still much to learn, ...","[4, 5, 0, 1, 2, 3, 6]",VO (Incomplete),OV (Incomplete)
eternal consciousness.,Consciousness eternal.,"[1, 0]",V (Incomplete),V (Incomplete)
. .,. .,"[0, 1]",V (Incomplete),V (Incomplete)
"to become one with the force, and influence still have . . .","and still have influence to become one with the force, . . .","[6, 8, 9, 7, 0, 1, 2, 3, 4, 5, 10]",VOOO (Incomplete),OOOV (Incomplete)
"a power greater than all, it is.",It is a power greater than all.,"[5, 6, 0, 1, 2, 3, 4]",SVO,OSV
"a great jedi master, you have become, qui-gon jinn.","you have become, a great jedi master, qui-gon jinn.","[4, 5, 6, 0, 1, 2, 3, 7, 8]",SVO,SVO
your apprentice i gratefully become.,I gratefully become your apprentice.,"[2, 3, 4, 0, 1]",SVO,OSV
"save them, we must.",We must save them.,"[2, 3, 0, 1]",SVO,VOS
they are our last hope.,They are our last hope.,"[0, 1, 2, 3, 4]",SVO,SVO
"pregnant, she must still appear.",She must still appear pregnant.,"[1, 2, 3, 4, 0]",SV (Incomplete),SV (Incomplete)
"hidden, safe, the children must be kept.","The children must be kept hidden, safe.","[2, 3, 4, 5, 6, 0, 1]",SV (Incomplete),SV (Incomplete)
"split up, they should be.",They should be split up.,"[2, 3, 4, 0, 1]",SV (Incomplete),VS (Incomplete)
to tatooine.,Tatooine to.,"[1, 0]",V (Incomplete),V (Incomplete)
"to his family, send him.",Send him to his family.,"[3, 4, 0, 1, 2]",VOO (Incomplete),OVO (Incomplete)
"strong the force runs, in the skywalker line.","the strong force runs, in the skywalker line.","[1, 0, 2, 3, 4, 5, 6, 7]",SVO,SV (Incomplete)
"hope, we can . . .","we can hope, . . .","[1, 2, 0, 3]",SV (Incomplete),VS (Incomplete)
"done, it is.",It is done.,"[1, 2, 0]",SV (Incomplete),VS (Incomplete)
"until the time is right, disappear we will.",We will disappear until the time is right.,"[6, 7, 5, 0, 1, 2, 3, 4]",SVS (Incomplete),SVS (Incomplete)
"(continuing) master kenobi, wait a moment.","master kenobi, wait a moment. (continuing)","[1, 2, 3, 4, 5, 0]",VV (Incomplete),V (Incomplete)
"in your solitude on tatooine, training i have for you.","i have training in your solitude on tatooine, for you.","[6, 7, 5, 0, 1, 2, 3, 4, 8, 9]",SVOOOO,OOOSV
an old friend has learned the path to immortality.,An old friend has learned the path to immortality.,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",SVOO,SVOO
one who has returned from the netherworld of the force to train me . .,One who has returned from the netherworld of the force to train me . .,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",VSOOO,VSOOO
"your old master, qui-gon jinn.","Qui-gon Jinn, your old master.","[3, 4, 0, 1, 2]",V (Incomplete),V (Incomplete)
"the secret of the ancient order of the whills, he studied.",He studied the secret of the ancient order of the whills.,"[9, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8]",SVOOO,OOOSV
how to commune with him.,How to commune with him.,"[0, 1, 2, 3, 4]",VO (Incomplete),VO (Incomplete)
i will teach you.,I will teach you.,"[0, 1, 2, 3]",SVO,SVO
"how to join the force, he will train you.",He will train you how to join the force.,"[5, 6, 7, 8, 0, 1, 2, 3, 4]",SVOO,OSVO
"your consciousness you will retain, when one with the force.","You will retain your consciousness, when one with the force.","[2, 3, 4, 0, 1, 5, 6, 7, 8, 9]",SVOO,OSV
"even your physical self, perhaps.",Perhaps even your physical self.,"[4, 0, 1, 2, 3]",V (Incomplete),V (Incomplete)
that face you make.,you make that face.,"[2, 3, 0, 1]",SVO,OSV
look i so old to young eyes?,I look so old to young eyes?,"[1, 0, 2, 3, 4, 5, 6]",SVO,VSO
soon will i rest.,I will rest soon.,"[2, 1, 3, 0]",SV (Incomplete),SV (Incomplete)
"yes, forever sleep.","Yes, sleep forever.","[0, 2, 1]",V (Incomplete),V (Incomplete)
"earned it, i have.",I have earned it.,"[2, 3, 0, 1]",SVO,VOS
strong am i with the force... but not that strong!,I am strong with the force... but not that strong!,"[2, 1, 0, 3, 4, 5, 6, 7, 8, 9]",SVO,VSO
twilight is upon me,twilight is upon me,"[0, 1, 2, 3]",SVO,SVO
no more training do you require.,You do require no more training.,"[4, 3, 5, 0, 1, 2]",SVO,OSV
already know you that which you need.,You already know that which you need.,"[2, 0, 1, 3, 4, 5, 6]",SVOOS,VSOOS
mmm... rest i need.,Mmm... I need rest.,"[0, 2, 3, 1]",VSVO,VVS (Incomplete)
yes... rest.,rest. yes...,"[1, 0]",VV (Incomplete),V (Incomplete)
your father he is.,He is your father.,"[2, 3, 0, 1]",SVO,OSV
"told you, did he?",Did he told you?,"[2, 3, 0, 1]",SVO,VOS
"unexpected this is, and unfortunate...","This is unexpected, and unfortunate...","[1, 2, 0, 3, 4]",SV (Incomplete),SV (Incomplete)
"remember, a jedi's strength flows from the force.","A jedi's strength flows from the force, remember.","[1, 2, 3, 4, 5, 6, 7, 0]",SOV,OS (Incomplete)
"but beware, anger.","Beware, but anger.","[1, 0, 2]",V (Incomplete),V (Incomplete)
"luke...luke...do not...do not underestimate the powers of the emperor,","Luke, Luke, do not, do not underestimate the powers of the emperor.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",SVOO,SVO
